,nav,cash,SH601928_P,SZ000598_P,SZ002249_P,SH600823_P,SH601003_P,SZ002242_P,SH600169_P,SH600410_P,SZ002491_P,SH600777_P,SZ000598_A,SH600392_A,SZ002129_A,SZ300010_A,SZ002699_A,SH603885_A,SZ000156_A,SZ000636_A,SZ002373_A,SH600266_A,SH600779_A,SZ002831_A,SH600717_A,SZ002110_A,SZ002266_A,SH600614_A,SZ002517_A,SH601928_A,SZ002434_A,SH600021_A,SZ002354_A,SZ002477_A,SZ000717_A,SZ300159_A,SZ000027_A,SH600643_A,SH600743_A,SZ002672_A,SH600823_A,SH601003_A,SZ002242_A,SH600169_A,SH600410_A,SZ002491_A,SH600777_A,SH601811_A,SZ000887_A,SZ002249_A,SH600939_A,SH600801_A,SZ002385_A,SZ002470_A,SZ002276_A,SZ002506_A,SH600648_A,SZ002503_A,SZ002368_A,SZ000998_A,SH601168_A,SH603228_A
2019-01-25,1102570.7257778237,704.8457757992542,141940.47990186038,13113.159956321144,60134.837266212155,33918.03087690571,59757.901846025656,71060.45082190675,47050.715228667745,26454.813373084027,57023.11254723663,25779.943262048084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-28,1087354.7806496813,1651.906118203906,142055.55995862294,13164.303148227955,59911.60638921252,34038.73573470107,59753.22640887948,70002.02654434236,47565.53617274496,26607.731369460234,56109.04973613883,25828.492297620312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-29,1082558.063193209,11.575176054611063,142004.77934761206,13013.56685263756,59905.89072207757,33797.43069851796,60519.77885888353,68941.65673138645,47463.95396702605,26914.04081308241,57478.84858452236,25926.153147515477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-30,1059798.5194451674,13263.40343117388,142004.77934761206,12913.201290222649,60368.525547494944,33676.65532490643,58198.129171628294,67880.22196290393,47981.44203085112,25996.38400166836,59297.539786398,24219.687757360585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-31,1036106.5740709736,3041.2677889951883,140954.62835974505,12561.120214983834,72397.287242983,32469.506297171953,56661.98901268941,67885.17338590114,46630.90585656376,28595.991124785825,59297.539786398,23584.367636247433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,1058827.835207204,75.54604564245074,139881.59647481595,12360.38512264534,70778.13676451053,32107.231146134633,57046.94011976736,65760.60195514039,47883.221692959094,29054.04062370916,60671.26011490282,24756.189377566883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-11,1090913.3227201635,5383.55104260009,139948.0034396448,12360.38512264534,70778.13676451053,32107.231146134633,57054.936138483616,65760.60195514039,47047.930410794674,29052.271779422015,58850.893007003135,24706.279391063952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-12,1098350.7984952028,3602.8286651960416,137813.45862249084,12560.775642653925,71004.76354263583,32951.899872176116,58215.066806840965,65760.60195514039,47047.930410794674,28900.560913867976,57478.45005284442,24608.743567490925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-13,1113726.706007164,3975.5598639356504,141989.6240352936,12560.775642653925,68936.1627307025,32831.01270526475,58976.75574017331,66821.26470435334,47152.331770291115,28442.44919744764,57024.837996074355,24464.24226901342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-14,1112436.4095248163,5450.199185867106,144128.22496210242,12711.752393458584,69398.74222820625,32710.3716389879,58584.68448786064,66821.26470435334,46850.703218471834,27830.930749460553,56573.161931217524,24464.33910717666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
